IDADE;SEXO;DOSE;UF;N
1;F;1ª Dose;15;1
1;F;1ª Dose;21;1
1;F;1ª Dose;23;3
1;F;1ª Dose;25;1
1;F;1ª Dose;26;2
1;F;1ª Dose;28;2
1;F;1ª Dose;29;3
1;F;1ª Dose;31;4
1;F;1ª Dose;33;2
1;F;1ª Dose;35;23
1;F;1ª Dose;41;4
1;F;1ª Dose;42;4
1;F;1ª Dose;43;10
1;F;1ª Dose;50;2
1;F;1ª Dose;51;2
1;F;1ª Dose;52;1
1;F;1ª Dose;NA;4
1;F;2ª Dose;28;1
1;F;2ª Dose;29;5
1;F;2ª Dose;35;5
1;F;2ª Dose;41;17
1;F;2ª Dose;42;1
1;F;2ª Dose;43;2
1;F;2ª Dose;50;1
1;F;2ª Dose;51;1
1;F;2ª Dose;NA;3
1;F;Dose ;42;1
1;F;Única ;41;20
1;M;1ª Dose;12;1
1;M;1ª Dose;13;2
1;M;1ª Dose;15;1
1;M;1ª Dose;17;3
1;M;1ª Dose;21;2
1;M;1ª Dose;23;3
1;M;1ª Dose;26;1
1;M;1ª Dose;29;4
1;M;1ª Dose;31;3
1;M;1ª Dose;32;1
1;M;1ª Dose;33;1
1;M;1ª Dose;35;6
1;M;1ª Dose;41;10
1;M;1ª Dose;42;5
1;M;1ª Dose;43;3
1;M;1ª Dose;50;1
1;M;1ª Dose;51;1
1;M;1ª Dose;NA;6
1;M;2ª Dose;15;1
1;M;2ª Dose;23;2
1;M;2ª Dose;29;1
1;M;2ª Dose;31;1
1;M;2ª Dose;32;1
1;M;2ª Dose;35;2
1;M;2ª Dose;41;15
1;M;2ª Dose;43;1
1;M;2ª Dose;50;1
1;M;2ª Dose;NA;2
1;M;Única ;35;1
1;M;Única ;41;11
2;F;1ª Dose;12;1
2;F;1ª Dose;13;2
2;F;1ª Dose;15;1
2;F;1ª Dose;23;4
2;F;1ª Dose;24;1
2;F;1ª Dose;25;2
2;F;1ª Dose;28;3
2;F;1ª Dose;29;5
2;F;1ª Dose;31;2
2;F;1ª Dose;32;2
2;F;1ª Dose;33;1
2;F;1ª Dose;35;10
2;F;1ª Dose;41;3
2;F;1ª Dose;42;3
2;F;1ª Dose;43;2
2;F;1ª Dose;50;1
2;F;1ª Dose;51;1
2;F;1ª Dose;52;1
2;F;1ª Dose;NA;1
2;F;2ª Dose;13;1
2;F;2ª Dose;23;1
2;F;2ª Dose;28;2
2;F;2ª Dose;32;1
2;F;2ª Dose;35;3
2;F;2ª Dose;51;1
2;F;Dose ;35;1
2;F;Única ;35;1
2;F;Única ;41;8
2;M;1ª Dose;12;2
2;M;1ª Dose;15;1
2;M;1ª Dose;21;4
2;M;1ª Dose;23;6
2;M;1ª Dose;24;1
2;M;1ª Dose;26;2
2;M;1ª Dose;28;1
2;M;1ª Dose;29;5
2;M;1ª Dose;31;2
2;M;1ª Dose;32;1
2;M;1ª Dose;33;2
2;M;1ª Dose;35;12
2;M;1ª Dose;41;3
2;M;1ª Dose;42;3
2;M;1ª Dose;43;6
2;M;1ª Dose;50;1
2;M;1ª Dose;51;1
2;M;2ª Dose;12;1
2;M;2ª Dose;21;1
2;M;2ª Dose;24;1
2;M;2ª Dose;33;1
2;M;2ª Dose;35;6
2;M;2ª Dose;41;1
2;M;2ª Dose;42;1
2;M;2ª Dose;43;2
2;M;2ª Dose;50;1
2;M;Única ;41;15
3;F;1ª Dose;11;2
3;F;1ª Dose;12;1
3;F;1ª Dose;13;3
3;F;1ª Dose;22;1
3;F;1ª Dose;23;5
3;F;1ª Dose;24;1
3;F;1ª Dose;25;1
3;F;1ª Dose;26;1
3;F;1ª Dose;28;1
3;F;1ª Dose;29;6
3;F;1ª Dose;31;6
3;F;1ª Dose;33;1
3;F;1ª Dose;35;9
3;F;1ª Dose;41;4
3;F;1ª Dose;43;4
3;F;1ª Dose;52;2
3;F;1ª Dose;NA;3
3;F;2ª Dose;22;1
3;F;2ª Dose;23;1
3;F;2ª Dose;35;5
3;F;2ª Dose;43;1
3;F;2ª Dose;51;1
3;F;2ª Dose;NA;2
3;F;Dose ;50;1
3;F;Única ;41;12
3;M;1ª Dose;11;1
3;M;1ª Dose;13;1
3;M;1ª Dose;15;1
3;M;1ª Dose;23;7
3;M;1ª Dose;27;1
3;M;1ª Dose;28;1
3;M;1ª Dose;29;6
3;M;1ª Dose;31;3
3;M;1ª Dose;32;2
3;M;1ª Dose;33;1
3;M;1ª Dose;35;12
3;M;1ª Dose;41;2
3;M;1ª Dose;42;3
3;M;1ª Dose;43;6
3;M;1ª Dose;50;1
3;M;1ª Dose;52;2
3;M;1ª Dose;NA;2
3;M;2ª Dose;13;1
3;M;2ª Dose;21;1
3;M;2ª Dose;23;1
3;M;2ª Dose;29;6
3;M;2ª Dose;35;5
3;M;2ª Dose;42;1
3;M;2ª Dose;43;1
3;M;2ª Dose;NA;2
3;M;Única ;41;23
3;M;Única ;NA;1
4;F;1ª Dose;13;1
4;F;1ª Dose;15;1
4;F;1ª Dose;16;1
4;F;1ª Dose;21;4
4;F;1ª Dose;23;7
4;F;1ª Dose;25;1
4;F;1ª Dose;26;2
4;F;1ª Dose;28;2
4;F;1ª Dose;29;9
4;F;1ª Dose;31;8
4;F;1ª Dose;32;1
4;F;1ª Dose;33;2
4;F;1ª Dose;35;21
4;F;1ª Dose;41;2
4;F;1ª Dose;42;6
4;F;1ª Dose;43;6
4;F;1ª Dose;50;4
4;F;1ª Dose;51;1
4;F;1ª Dose;52;2
4;F;2ª Dose;21;2
4;F;2ª Dose;26;1
4;F;2ª Dose;35;5
4;F;2ª Dose;41;1
4;F;2ª Dose;42;1
4;F;2ª Dose;43;2
4;F;2ª Dose;52;1
4;F;Dose ;43;1
4;F;Única ;28;1
4;F;Única ;41;24
4;F;Única ;42;1
4;F;Única ;NA;2
4;M;1ª Dose;13;4
4;M;1ª Dose;15;1
4;M;1ª Dose;17;1
4;M;1ª Dose;21;2
4;M;1ª Dose;23;1
4;M;1ª Dose;24;1
4;M;1ª Dose;26;3
4;M;1ª Dose;29;2
4;M;1ª Dose;31;3
4;M;1ª Dose;33;2
4;M;1ª Dose;35;19
4;M;1ª Dose;41;7
4;M;1ª Dose;42;6
4;M;1ª Dose;43;5
4;M;1ª Dose;50;2
4;M;1ª Dose;NA;2
4;M;2ª Dose;15;1
4;M;2ª Dose;26;1
4;M;2ª Dose;28;1
4;M;2ª Dose;29;1
4;M;2ª Dose;33;1
4;M;2ª Dose;35;4
4;M;2ª Dose;41;1
4;M;2ª Dose;42;1
4;M;2ª Dose;43;1
4;M;Dose ;35;1
4;M;Dose ;41;1
4;M;Dose ;42;1
4;M;Dose ;51;1
4;M;Única ;31;1
4;M;Única ;35;1
4;M;Única ;41;13
5;F;1ª Dose;13;1
5;F;1ª Dose;14;1
5;F;1ª Dose;15;2
5;F;1ª Dose;21;4
5;F;1ª Dose;22;1
5;F;1ª Dose;23;11
5;F;1ª Dose;26;3
5;F;1ª Dose;29;5
5;F;1ª Dose;31;5
5;F;1ª Dose;33;2
5;F;1ª Dose;35;13
5;F;1ª Dose;41;3
5;F;1ª Dose;42;3
5;F;1ª Dose;43;2
5;F;1ª Dose;50;1
5;F;1ª Dose;52;1
5;F;1ª Dose;NA;2
5;F;2ª Dose;15;1
5;F;2ª Dose;23;1
5;F;2ª Dose;29;1
5;F;2ª Dose;33;1
5;F;2ª Dose;35;6
5;F;2ª Dose;41;1
5;F;2ª Dose;43;1
5;F;Dose ;35;1
5;F;Dose ;42;1
5;F;Única ;28;1
5;F;Única ;35;1
5;F;Única ;41;14
5;F;Única ;42;1
5;M;1ª Dose;13;1
5;M;1ª Dose;15;2
5;M;1ª Dose;21;1
5;M;1ª Dose;23;9
5;M;1ª Dose;24;2
5;M;1ª Dose;25;2
5;M;1ª Dose;26;2
5;M;1ª Dose;29;8
5;M;1ª Dose;31;6
5;M;1ª Dose;32;1
5;M;1ª Dose;33;3
5;M;1ª Dose;35;17
5;M;1ª Dose;41;3
5;M;1ª Dose;42;3
5;M;1ª Dose;43;8
5;M;1ª Dose;50;2
5;M;1ª Dose;51;1
5;M;1ª Dose;52;1
5;M;1ª Dose;NA;3
5;M;2ª Dose;15;2
5;M;2ª Dose;25;1
5;M;2ª Dose;28;1
5;M;2ª Dose;29;6
5;M;2ª Dose;35;7
5;M;2ª Dose;41;2
5;M;2ª Dose;42;2
5;M;2ª Dose;50;1
5;M;2ª Dose;NA;1
5;M;Dose ;31;1
5;M;Única ;41;15
6;F;1ª Dose;13;1
6;F;1ª Dose;15;2
6;F;1ª Dose;17;1
6;F;1ª Dose;21;4
6;F;1ª Dose;23;9
6;F;1ª Dose;26;1
6;F;1ª Dose;27;3
6;F;1ª Dose;29;7
6;F;1ª Dose;31;4
6;F;1ª Dose;35;27
6;F;1ª Dose;41;1
6;F;1ª Dose;42;5
6;F;1ª Dose;43;10
6;F;1ª Dose;51;4
6;F;1ª Dose;52;1
6;F;2ª Dose;11;2
6;F;2ª Dose;13;2
6;F;2ª Dose;15;1
6;F;2ª Dose;23;2
6;F;2ª Dose;29;2
6;F;2ª Dose;31;1
6;F;2ª Dose;33;1
6;F;2ª Dose;35;10
6;F;2ª Dose;43;3
6;F;2ª Dose;51;2
6;F;2ª Dose;52;1
6;F;Dose ;42;1
6;F;Única ;41;4
6;M;1ª Dose;11;1
6;M;1ª Dose;13;4
6;M;1ª Dose;16;1
6;M;1ª Dose;17;1
6;M;1ª Dose;21;1
6;M;1ª Dose;22;2
6;M;1ª Dose;23;5
6;M;1ª Dose;24;2
6;M;1ª Dose;26;1
6;M;1ª Dose;27;1
6;M;1ª Dose;29;3
6;M;1ª Dose;31;7
6;M;1ª Dose;32;1
6;M;1ª Dose;33;3
6;M;1ª Dose;35;17
6;M;1ª Dose;41;4
6;M;1ª Dose;42;2
6;M;1ª Dose;43;3
6;M;1ª Dose;50;1
6;M;1ª Dose;52;2
6;M;1ª Dose;NA;2
6;M;2ª Dose;24;1
6;M;2ª Dose;26;1
6;M;2ª Dose;27;1
6;M;2ª Dose;29;1
6;M;2ª Dose;31;4
6;M;2ª Dose;33;1
6;M;2ª Dose;35;2
6;M;2ª Dose;41;1
6;M;2ª Dose;50;1
6;M;Dose ;29;1
6;M;Dose ;35;1
6;M;Única ;35;1
6;M;Única ;41;5
7;F;1ª Dose;13;1
7;F;1ª Dose;15;2
7;F;1ª Dose;21;3
7;F;1ª Dose;22;1
7;F;1ª Dose;23;8
7;F;1ª Dose;24;3
7;F;1ª Dose;28;1
7;F;1ª Dose;29;2
7;F;1ª Dose;31;7
7;F;1ª Dose;33;1
7;F;1ª Dose;35;20
7;F;1ª Dose;41;2
7;F;1ª Dose;42;6
7;F;1ª Dose;43;3
7;F;1ª Dose;50;1
7;F;1ª Dose;51;1
7;F;1ª Dose;53;1
7;F;2ª Dose;11;1
7;F;2ª Dose;21;2
7;F;2ª Dose;24;1
7;F;2ª Dose;26;1
7;F;2ª Dose;29;1
7;F;2ª Dose;31;1
7;F;2ª Dose;33;1
7;F;2ª Dose;35;8
7;F;2ª Dose;41;1
7;F;2ª Dose;42;2
7;F;2ª Dose;43;1
7;F;2ª Dose;51;1
7;F;2ª Dose;52;1
7;F;Dose ;29;2
7;F;Única ;41;5
7;M;1ª Dose;13;3
7;M;1ª Dose;15;1
7;M;1ª Dose;17;1
7;M;1ª Dose;21;1
7;M;1ª Dose;22;2
7;M;1ª Dose;23;7
7;M;1ª Dose;26;3
7;M;1ª Dose;29;8
7;M;1ª Dose;31;9
7;M;1ª Dose;32;1
7;M;1ª Dose;33;4
7;M;1ª Dose;35;18
7;M;1ª Dose;41;2
7;M;1ª Dose;42;4
7;M;1ª Dose;43;2
7;M;1ª Dose;51;3
7;M;1ª Dose;52;1
7;M;1ª Dose;NA;2
7;M;2ª Dose;13;1
7;M;2ª Dose;15;1
7;M;2ª Dose;21;1
7;M;2ª Dose;26;2
7;M;2ª Dose;29;1
7;M;2ª Dose;31;1
7;M;2ª Dose;33;3
7;M;2ª Dose;35;6
7;M;2ª Dose;52;1
7;M;2ª Dose;NA;1
7;M;Dose ;15;1
7;M;Única ;15;1
7;M;Única ;41;6
8;F;1ª Dose;13;5
8;F;1ª Dose;14;1
8;F;1ª Dose;15;3
8;F;1ª Dose;21;3
8;F;1ª Dose;23;9
8;F;1ª Dose;25;1
8;F;1ª Dose;26;1
8;F;1ª Dose;27;2
8;F;1ª Dose;29;8
8;F;1ª Dose;31;12
8;F;1ª Dose;32;1
8;F;1ª Dose;33;4
8;F;1ª Dose;35;25
8;F;1ª Dose;41;4
8;F;1ª Dose;43;5
8;F;1ª Dose;50;1
8;F;1ª Dose;51;1
8;F;1ª Dose;NA;3
8;F;2ª Dose;13;1
8;F;2ª Dose;23;4
8;F;2ª Dose;24;1
8;F;2ª Dose;29;1
8;F;2ª Dose;33;1
8;F;2ª Dose;35;7
8;F;2ª Dose;41;1
8;F;2ª Dose;43;3
8;F;2ª Dose;50;2
8;F;2ª Dose;51;1
8;F;2ª Dose;NA;3
8;F;Dose ;21;1
8;F;Dose ;42;1
8;F;Única ;41;1
8;M;1ª Dose;11;1
8;M;1ª Dose;12;1
8;M;1ª Dose;13;2
8;M;1ª Dose;14;1
8;M;1ª Dose;15;1
8;M;1ª Dose;17;2
8;M;1ª Dose;21;2
8;M;1ª Dose;23;10
8;M;1ª Dose;24;1
8;M;1ª Dose;25;3
8;M;1ª Dose;29;6
8;M;1ª Dose;31;4
8;M;1ª Dose;33;3
8;M;1ª Dose;35;24
8;M;1ª Dose;41;4
8;M;1ª Dose;42;7
8;M;1ª Dose;43;7
8;M;1ª Dose;50;1
8;M;1ª Dose;51;2
8;M;1ª Dose;NA;3
8;M;2ª Dose;11;1
8;M;2ª Dose;13;1
8;M;2ª Dose;21;1
8;M;2ª Dose;23;1
8;M;2ª Dose;24;1
8;M;2ª Dose;29;1
8;M;2ª Dose;31;2
8;M;2ª Dose;35;5
8;M;2ª Dose;41;2
8;M;2ª Dose;42;1
8;M;2ª Dose;43;1
8;M;2ª Dose;50;1
8;M;2ª Dose;51;1
8;M;2ª Dose;NA;1
8;M;Única ;41;4
9;F;1ª Dose;15;1
9;F;1ª Dose;17;4
9;F;1ª Dose;21;6
9;F;1ª Dose;23;9
9;F;1ª Dose;24;3
9;F;1ª Dose;25;1
9;F;1ª Dose;28;2
9;F;1ª Dose;29;12
9;F;1ª Dose;31;14
9;F;1ª Dose;32;2
9;F;1ª Dose;33;2
9;F;1ª Dose;35;37
9;F;1ª Dose;41;10
9;F;1ª Dose;42;5
9;F;1ª Dose;43;5
9;F;1ª Dose;50;4
9;F;1ª Dose;51;1
9;F;1ª Dose;52;1
9;F;1ª Dose;NA;1
9;F;2ª Dose;23;3
9;F;2ª Dose;26;1
9;F;2ª Dose;28;2
9;F;2ª Dose;31;4
9;F;2ª Dose;32;1
9;F;2ª Dose;33;1
9;F;2ª Dose;35;11
9;F;2ª Dose;41;1
9;F;2ª Dose;43;4
9;F;2ª Dose;50;1
9;F;Dose ;29;1
9;F;Dose ;35;1
9;F;Dose ;41;1
9;F;Única ;29;1
9;F;Única ;41;2
9;M;1ª Dose;11;1
9;M;1ª Dose;13;7
9;M;1ª Dose;14;1
9;M;1ª Dose;15;4
9;M;1ª Dose;17;2
9;M;1ª Dose;21;2
9;M;1ª Dose;23;8
9;M;1ª Dose;24;1
9;M;1ª Dose;26;4
9;M;1ª Dose;28;1
9;M;1ª Dose;29;7
9;M;1ª Dose;31;1
9;M;1ª Dose;32;1
9;M;1ª Dose;33;4
9;M;1ª Dose;35;38
9;M;1ª Dose;41;5
9;M;1ª Dose;42;1
9;M;1ª Dose;43;2
9;M;1ª Dose;50;2
9;M;1ª Dose;51;2
9;M;1ª Dose;52;2
9;M;1ª Dose;NA;1
9;M;2ª Dose;13;2
9;M;2ª Dose;17;1
9;M;2ª Dose;25;1
9;M;2ª Dose;29;2
9;M;2ª Dose;33;1
9;M;2ª Dose;35;10
9;M;2ª Dose;42;1
9;M;2ª Dose;51;1
9;M;2ª Dose;52;1
9;M;2ª Dose;NA;1
9;M;Dose ;43;1
9;M;Única ;41;10
10;F;1ª Dose;11;3
10;F;1ª Dose;15;4
10;F;1ª Dose;17;2
10;F;1ª Dose;21;2
10;F;1ª Dose;22;2
10;F;1ª Dose;23;9
10;F;1ª Dose;25;2
10;F;1ª Dose;26;2
10;F;1ª Dose;29;15
10;F;1ª Dose;31;7
10;F;1ª Dose;33;5
10;F;1ª Dose;35;29
10;F;1ª Dose;41;4
10;F;1ª Dose;42;2
10;F;1ª Dose;43;8
10;F;1ª Dose;50;3
10;F;1ª Dose;53;3
10;F;2ª Dose;15;1
10;F;2ª Dose;23;2
10;F;2ª Dose;26;1
10;F;2ª Dose;27;1
10;F;2ª Dose;29;7
10;F;2ª Dose;31;2
10;F;2ª Dose;33;1
10;F;2ª Dose;35;9
10;F;2ª Dose;50;1
10;F;2ª Dose;53;2
10;F;2ª Dose;NA;1
10;F;Dose ;22;1
10;F;Única ;41;5
10;M;1ª Dose;11;2
10;M;1ª Dose;13;2
10;M;1ª Dose;15;4
10;M;1ª Dose;17;5
10;M;1ª Dose;22;1
10;M;1ª Dose;23;8
10;M;1ª Dose;24;1
10;M;1ª Dose;26;3
10;M;1ª Dose;27;2
10;M;1ª Dose;28;1
10;M;1ª Dose;29;5
10;M;1ª Dose;31;6
10;M;1ª Dose;33;4
10;M;1ª Dose;35;36
10;M;1ª Dose;41;7
10;M;1ª Dose;42;9
10;M;1ª Dose;43;4
10;M;1ª Dose;50;1
10;M;1ª Dose;NA;1
10;M;2ª Dose;13;1
10;M;2ª Dose;17;2
10;M;2ª Dose;21;1
10;M;2ª Dose;23;2
10;M;2ª Dose;29;2
10;M;2ª Dose;31;1
10;M;2ª Dose;33;1
10;M;2ª Dose;35;13
10;M;2ª Dose;41;2
10;M;2ª Dose;43;2
10;M;2ª Dose;50;1
10;M;2ª Dose;51;1
10;M;Única ;24;1
11;F;1ª Dose;11;1
11;F;1ª Dose;13;4
11;F;1ª Dose;15;1
11;F;1ª Dose;17;4
11;F;1ª Dose;21;4
11;F;1ª Dose;22;1
11;F;1ª Dose;23;5
11;F;1ª Dose;26;4
11;F;1ª Dose;29;8
11;F;1ª Dose;31;11
11;F;1ª Dose;33;2
11;F;1ª Dose;35;29
11;F;1ª Dose;41;5
11;F;1ª Dose;42;9
11;F;1ª Dose;43;9
11;F;1ª Dose;50;8
11;F;1ª Dose;51;1
11;F;2ª Dose;13;1
11;F;2ª Dose;17;3
11;F;2ª Dose;21;1
11;F;2ª Dose;26;1
11;F;2ª Dose;29;1
11;F;2ª Dose;31;3
11;F;2ª Dose;35;7
11;F;2ª Dose;41;1
11;F;2ª Dose;43;3
11;F;Dose ;43;2
11;F;Dose ;50;1
11;F;Única ;41;1
11;F;Única ;43;1
11;M;1ª Dose;11;1
11;M;1ª Dose;13;1
11;M;1ª Dose;15;3
11;M;1ª Dose;17;2
11;M;1ª Dose;21;5
11;M;1ª Dose;22;1
11;M;1ª Dose;23;8
11;M;1ª Dose;24;2
11;M;1ª Dose;25;1
11;M;1ª Dose;27;2
11;M;1ª Dose;28;2
11;M;1ª Dose;29;12
11;M;1ª Dose;31;3
11;M;1ª Dose;32;2
11;M;1ª Dose;33;3
11;M;1ª Dose;35;30
11;M;1ª Dose;41;6
11;M;1ª Dose;42;3
11;M;1ª Dose;43;5
11;M;1ª Dose;50;8
11;M;1ª Dose;51;1
11;M;1ª Dose;52;1
11;M;1ª Dose;53;1
11;M;1ª Dose;NA;1
11;M;2ª Dose;21;1
11;M;2ª Dose;23;1
11;M;2ª Dose;24;1
11;M;2ª Dose;27;1
11;M;2ª Dose;29;2
11;M;2ª Dose;31;2
11;M;2ª Dose;35;9
11;M;2ª Dose;42;1
11;M;2ª Dose;43;1
11;M;2ª Dose;50;1
11;M;2ª Dose;52;1
11;M;Dose ;35;1
11;M;Dose ;42;1
11;M;Dose ;43;1
11;M;Única ;35;1
11;M;Única ;41;5
12;F;1ª Dose;11;4
12;F;1ª Dose;13;3
12;F;1ª Dose;14;1
12;F;1ª Dose;15;3
12;F;1ª Dose;17;1
12;F;1ª Dose;21;3
12;F;1ª Dose;22;2
12;F;1ª Dose;23;20
12;F;1ª Dose;24;1
12;F;1ª Dose;25;2
12;F;1ª Dose;26;3
12;F;1ª Dose;28;3
12;F;1ª Dose;29;10
12;F;1ª Dose;31;6
12;F;1ª Dose;32;1
12;F;1ª Dose;33;2
12;F;1ª Dose;35;37
12;F;1ª Dose;41;4
12;F;1ª Dose;42;8
12;F;1ª Dose;43;7
12;F;1ª Dose;50;271
12;F;1ª Dose;51;5
12;F;1ª Dose;52;5
12;F;1ª Dose;NA;2
12;F;2ª Dose;17;1
12;F;2ª Dose;21;1
12;F;2ª Dose;23;4
12;F;2ª Dose;29;2
12;F;2ª Dose;31;2
12;F;2ª Dose;32;1
12;F;2ª Dose;33;1
12;F;2ª Dose;35;13
12;F;2ª Dose;41;1
12;F;2ª Dose;42;2
12;F;2ª Dose;43;1
12;F;2ª Dose;50;2
12;F;2ª Dose;51;1
12;F;2ª Dose;52;2
12;F;Dose ;15;1
12;F;Única ;41;4
12;F;Única ;42;1
12;M;1ª Dose;11;4
12;M;1ª Dose;12;3
12;M;1ª Dose;13;11
12;M;1ª Dose;14;3
12;M;1ª Dose;15;2
12;M;1ª Dose;17;4
12;M;1ª Dose;21;6
12;M;1ª Dose;22;2
12;M;1ª Dose;23;42
12;M;1ª Dose;24;3
12;M;1ª Dose;25;1
12;M;1ª Dose;26;2
12;M;1ª Dose;27;1
12;M;1ª Dose;28;3
12;M;1ª Dose;29;11
12;M;1ª Dose;31;9
12;M;1ª Dose;32;1
12;M;1ª Dose;33;1
12;M;1ª Dose;35;33
12;M;1ª Dose;41;7
12;M;1ª Dose;42;4
12;M;1ª Dose;43;11
12;M;1ª Dose;50;424
12;M;1ª Dose;51;2
12;M;1ª Dose;52;2
12;M;1ª Dose;NA;3
12;M;2ª Dose;13;1
12;M;2ª Dose;14;2
12;M;2ª Dose;21;2
12;M;2ª Dose;23;1
12;M;2ª Dose;24;1
12;M;2ª Dose;29;4
12;M;2ª Dose;33;1
12;M;2ª Dose;35;5
12;M;2ª Dose;43;1
12;M;2ª Dose;NA;2
12;M;Dose ;24;1
12;M;Dose ;29;1
12;M;Dose ;41;1
12;M;Dose ;42;2
12;M;Dose ;50;3
12;M;Única ;35;1
12;M;Única ;41;2
13;F;1ª Dose;11;7
13;F;1ª Dose;13;6
13;F;1ª Dose;14;1
13;F;1ª Dose;15;5
13;F;1ª Dose;16;1
13;F;1ª Dose;21;6
13;F;1ª Dose;22;3
13;F;1ª Dose;23;30
13;F;1ª Dose;24;3
13;F;1ª Dose;25;1
13;F;1ª Dose;26;4
13;F;1ª Dose;27;1
13;F;1ª Dose;28;1
13;F;1ª Dose;29;10
13;F;1ª Dose;31;16
13;F;1ª Dose;32;1
13;F;1ª Dose;33;6
13;F;1ª Dose;35;42
13;F;1ª Dose;41;8
13;F;1ª Dose;42;9
13;F;1ª Dose;43;4
13;F;1ª Dose;50;250
13;F;1ª Dose;51;4
13;F;1ª Dose;52;2
13;F;1ª Dose;NA;6
13;F;2ª Dose;13;1
13;F;2ª Dose;15;2
13;F;2ª Dose;21;1
13;F;2ª Dose;23;2
13;F;2ª Dose;25;1
13;F;2ª Dose;26;1
13;F;2ª Dose;28;1
13;F;2ª Dose;29;5
13;F;2ª Dose;31;2
13;F;2ª Dose;32;1
13;F;2ª Dose;35;9
13;F;2ª Dose;42;1
13;F;2ª Dose;50;1
13;F;2ª Dose;51;2
13;F;2ª Dose;NA;4
13;F;Dose ;21;2
13;F;Dose ;43;2
13;F;Dose ;50;1
13;F;Única ;41;6
13;M;1ª Dose;11;7
13;M;1ª Dose;12;1
13;M;1ª Dose;13;5
13;M;1ª Dose;15;3
13;M;1ª Dose;17;2
13;M;1ª Dose;21;4
13;M;1ª Dose;22;1
13;M;1ª Dose;23;32
13;M;1ª Dose;24;1
13;M;1ª Dose;26;1
13;M;1ª Dose;28;6
13;M;1ª Dose;29;21
13;M;1ª Dose;31;12
13;M;1ª Dose;32;1
13;M;1ª Dose;33;5
13;M;1ª Dose;35;41
13;M;1ª Dose;41;13
13;M;1ª Dose;42;5
13;M;1ª Dose;43;14
13;M;1ª Dose;50;394
13;M;1ª Dose;51;7
13;M;1ª Dose;52;4
13;M;1ª Dose;53;3
13;M;1ª Dose;NA;1
13;M;2ª Dose;12;1
13;M;2ª Dose;13;2
13;M;2ª Dose;22;1
13;M;2ª Dose;24;1
13;M;2ª Dose;26;2
13;M;2ª Dose;29;5
13;M;2ª Dose;31;5
13;M;2ª Dose;35;11
13;M;2ª Dose;41;5
13;M;2ª Dose;42;1
13;M;2ª Dose;43;3
13;M;2ª Dose;50;2
13;M;2ª Dose;51;1
13;M;2ª Dose;52;1
13;M;Dose ;17;1
13;M;Dose ;50;1
13;M;Única ;41;6
14;F;1ª Dose;11;8
14;F;1ª Dose;12;4
14;F;1ª Dose;13;6
14;F;1ª Dose;14;1
14;F;1ª Dose;15;9
14;F;1ª Dose;21;7
14;F;1ª Dose;22;5
14;F;1ª Dose;23;24
14;F;1ª Dose;24;8
14;F;1ª Dose;25;2
14;F;1ª Dose;26;10
14;F;1ª Dose;27;4
14;F;1ª Dose;28;1
14;F;1ª Dose;29;25
14;F;1ª Dose;31;14
14;F;1ª Dose;32;3
14;F;1ª Dose;33;9
14;F;1ª Dose;35;43
14;F;1ª Dose;41;21
14;F;1ª Dose;42;7
14;F;1ª Dose;43;20
14;F;1ª Dose;50;265
14;F;1ª Dose;51;12
14;F;1ª Dose;52;3
14;F;1ª Dose;53;2
14;F;1ª Dose;NA;1
14;F;1ª Dose Revacinação ;11;1
14;F;2ª Dose;12;1
